word
گُون٘گے کی بات
گُون٘گے کی مِٹھائی
لَنْڈ پَر مارْنا
لَنْڈ پَر ہونا
لَنْڈ ہونا
کَن٘گی کَرْنا
عِوَض دینا
لِکھنا
سَبْنَمِسْتان
کُن٘واں جَھکانا
کِھلْنا
کِھلْنا گَٹّا
کِھلْنا نال
گَِراں بار
دابْنا دَھرنا
قُرْبانی ہونا
کوئی
شَب
قِسْمَت
کام
قِسْمَت کَرْنا
گِیت
قَسْمِیَہ بَیان
کَھٹائی دینا
کَھین٘چ کَرْنا
فَِرو دَسْت
ٹیکنْا دیکْھنا
کِیا گاہ
قَبِلَہ وار
کُھجانا
شُہْرَہ پانا
کِھلّی میں لینا
گانا
گانا ہونا
اَٹَکْنا
کَیف آور
طالِع
طَبِیعَت رَہ جانا
کِھچا
کَل
قَلَم اَن٘دازی
کِھلْیا
قَسَم
کُلُوخ اَنْداز
طَرَْف دار
گان٘ڑ پھاڑْنا
گان٘ڑ پَھٹْنا
گان٘ڑ جَلْنا
گان٘ڑ جَھپ
گان٘ڑ چاٹْنا
گان٘ڑ چُرانا
گان٘ڑ چِرْنا
گان٘ڑ چَلْنا
گان٘ڑ دھونا
گان٘ڑ رَگَڑْنا
گان٘ڑ غَلَط ہونا
گان٘ڑ کاٹْنا
گان٘ڑ مارْنا
گان٘ڑ مَرانی
گان٘ڑ میں گُھسْنا
گان٘ڑ میں لَن٘گوٹی تَک نَہ رَہْنا ہونا
گاؤ پَیکَر
گَری
کوڑا چَٹَخْنا
فال
کَٹھ کِلّی
گُپ چُپ
کُپّا دینا
کُپّا کھانا
گُپَْت مال
کاسْنی باز
کَر بَیٹْھنا
غَرِیبامَئُو
کَد
قیامت طاری ہونا
غُصَّہ
غَرِیبانَہ
غضب
ضَو
غَضَب ِ خُدا
کاشانی
نُما
کَج
کَٹَِھن
قَلْب
غَڑَپ غَڑَپ
فَوق
کُرام
ضِیا گُسْتَر
غَش
کرم کے بلیا پکائی
کَٹْھیا
کَرْبَلائی
کُٹھیلْنا
قَوقِیَت
قَوقِیَت چاہْنا
قَوقِیَت حاصِل ہونا
قَوقِیَت دینا
قَوقِیَت رَکْھنا
قَوقِیَت لے جانا
کوسْنا
کَرَت
غُصّے میں رَن٘گ بَدَلْنا
کِرِت
کوسوں
کُچْھ آتا ہے نَہ جاتا ہے
کُحْلی
ضِیق
فَولادی
غَزَل چھیڑْنا
کوفْتَہ
کُرْتا
ضِیق میں بَیٹْھنا
کُوفِیّہ
قَلَم ٹُوٹ جانا ٹُوٹْنا
فِریم
فِزا
کِیا
غَضَْبی
کَرْتَبی مذ
کاشِفَہ
کاشی
کرمل
مُع جِز
کَرْوَٹ
کَرْتُوت
فَسْطائی
کُجات
فَِہْرِسْت ِ مُقَدَّمات محاورہامث
کَجْرالا
غَضَب
کَجَل
کَر دِکھانا دِکھلانا
غَضَب فجائیہ
کَجْلا
کَر دِکھنا دِکھلانا
غَضَب ِ اِلہٰی
کیپِٹَل
لوہے
فی
کَرَیت
کِلِپ کَلْجھائی
کَرْدَنی
فی الفور
کانْت
فِشُرْدَہ
کَلَکْٹَری
کارْن
کڑا
کارِنْدَہ
کُچْھ کھا لینا
گَت کا
گَت کار
کَڑوا
کَر
کِلْکِلا
کَرَڑ
کاواک
کوکِنی
گُتَّم گُتّھا
کدارا
گَٹ
گَٹ پَٹ
کھانا پِینا
گَٹا گَٹ
گُٹَکْنا
گَٹّو
کِرِسْچَن کِرِسْچَین
گَٹھ
قَدَم بَہَکْنا
چَڑْھنا کَرْنا
فِیروزی
گَٹھ جوڑا
چَڑْھنا میں ہاتھ ڈالْنا
گَٹّھا گُٹّھا
کُرْوِیات
گَٹَھر گٹّھر
کِریڈِٹ مِلنا
کُلْوی
کَلْوِیٹ
کُکْڑوں کُوں
قطب خانی
کبیر
قَلْبی
کَلِیسا
کَتْخُدا
کَڑَک
کَتْرا
کُرْسی گان٘ٹْھ
کَبِیرَہ کبِیرا
لیفْٹینَنْٹ گَوَرْنَر
کاہِلی مث
کاہْنا
کالی بوزَہ
کُتّا
کَپَّر
قُلّتَین
کَھن کَھن
کَپ
کِھن
کاٹ قَبالَہ
کِرِشْن
کِتاب خواں
کُچْتا
کِتابَت ِ حالَّہ
مات
ماتْرا
ماتْرا لَگانا
ماتْرا لَگْنا
ماتْرائی
ماتْرائی گَن
ماتْرِک
ماتْرِک چَھنْد
ماتْرِک سَوَیّا
کَڑَکْ پُور کَپاس ، ایک مول ہے
قابُوچی
قائِلیَت
قابِیل
کُھوپی
کُل زَر
کُڈَھن٘گی قدیمصف
قائِم قایَم
قائمِ
نَظَری ِ مَوزُوں
کھوکْھلا پَن
کھوکْھلا کَرْنا
قامُوس عِلْم
کھون٘پ
چُپاتی
کاٹْنا
قاری
قُطْبی
کُشتَہ
قُطْبی تارا
کُلْیا
قُطْبی نُمائی
قُطْبی بِلَی
قُطْبی خَط
قُطْبی رِیچھ
قاصِر
کُرْکُری
کَڑی
کھوج پَڑْْنا
کڑواہٹ
کَلْیان
قُطْر
کَڑی سے کَڑی بات
کَرْکی
